"","state","gdp_nominal","gdp_per_capita"
"1"," California",3091871.5,78538
"2"," Texas",1759734.4,59935
"3"," New York",1699044.7,87866
"4"," Florida",1095888.2,50424
"5"," Illinois",863516.7,68601
"6"," Pennsylvania",780176.1,61031
"7"," Ohio",675037.3,57729
"8"," Georgia",619240,57819
"9"," New Jersey",619061.1,69695
"10"," Washington",618704.9,80418
"11"," North Carolina",586136.2,55292
"12"," Massachusetts",584039,84722
"13"," Virginia",551760.3,64229
"14"," Michigan",515928.3,51766
"15"," Maryland",422726.4,69805
"16"," Colorado",390098.7,67169
"17"," Minnesota",374351.8,66171
"18"," Indiana",372636.7,55165
"19"," Arizona",372461,50187
"20"," Tennessee",364485.9,52925
"21"," Wisconsin",338678.4,58066
"22"," Missouri",321708.8,52297
"23"," Connecticut",280900.3,78971
"24"," Oregon",250458.5,59049
"25"," Louisiana",241990.8,52093
"26"," South Carolina",241688.7,46318
"27"," Alabama",224870.6,45691
"28"," Kentucky",210024.2,46909
"29"," Utah",194985.8,59998
"30"," Iowa",192710.2,60916
"31"," Oklahoma",186581.4,46871
"32"," Kansas",173298.3,59475
"33"," Nevada",172597.6,54998
"34"," District of Columbia",143532.7,201360
"35"," Arkansas",129073.9,42591
"36"," Nebraska",128808.7,66480
"37"," Mississippi",114200.6,38493
"38"," New Mexico",100310.1,47623
"39"," Hawaii",89856.2,63863
"40"," New Hampshire",85109.3,62293
"41"," Idaho",84032.2,45997
"42"," Delaware",75512.5,76522
"43"," West Virginia",73709.2,41299
"44"," Maine",66196,49029
"45"," Rhode Island",60224.7,56970
"46"," South Dakota",54852.1,61444
"47"," North Dakota",54032.9,70603
"48"," Montana",51488.7,47649
"49"," Alaska",50246.7,68722
"50"," Wyoming",36241.5,62236
"51"," Vermont",32796.7,52614
"52"," United States",20936558,63543
