"","state","pop"
"1","United States",328239523
"2","Alabama",4903185
"3","Alaska",731545
"4","Arizona",7278717
"5","Arkansas",3017804
"6","California",39512223
"7","Colorado",5758736
"8","Connecticut",3565287
"9","Delaware",973764
"10","District of Columbia",705749
"11","Florida",21477737
"12","Georgia",10617423
"13","Hawaii",1415872
"14","Idaho",1787065
"15","Illinois",12671821
"16","Indiana",6732219
"17","Iowa",3155070
"18","Kansas",2913314
"19","Kentucky",4467673
"20","Louisiana",4648794
"21","Maine",1344212
"22","Maryland",6045680
"23","Massachusetts",6892503
"24","Michigan",9986857
"25","Minnesota",5639632
"26","Mississippi",2976149
"27","Missouri",6137428
"28","Montana",1068778
"29","Nebraska",1934408
"30","Nevada",3080156
"31","New Hampshire",1359711
"32","New Jersey",8882190
"33","New Mexico",2096829
"34","New York",19453561
"35","North Carolina",10488084
"36","North Dakota",762062
"37","Ohio",11689100
"38","Oklahoma",3956971
"39","Oregon",4217737
"40","Pennsylvania",12801989
"41","Rhode Island",1059361
"42","South Carolina",5148714
"43","South Dakota",884659
"44","Tennessee",6829174
"45","Texas",28995881
"46","Utah",3205958
"47","Vermont",623989
"48","Virginia",8535519
"49","Washington",7614893
"50","West Virginia",1792147
"51","Wisconsin",5822434
"52","Wyoming",578759
"53","Puerto Rico",3193694
